,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,94,3,2,Sales Executive,4,Single,8,Yes,11,3,1,0,8,0,1,6,4,0,5
1,49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,61,2,2,Research Scientist,2,Married,1,No,23,4,4,1,10,3,3,10,7,1,7
2,37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,92,2,1,Laboratory Technician,3,Single,6,Yes,15,3,2,0,7,3,3,0,0,0,0
3,33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,56,3,1,Research Scientist,3,Married,1,Yes,11,3,3,0,8,3,3,8,7,3,0
4,27,No,Travel_Rarely,Research & Development,2,1,Medical,1,40,3,1,Laboratory Technician,2,Married,9,No,12,3,4,1,6,3,3,2,2,2,2
5,32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,79,3,1,Laboratory Technician,4,Single,0,No,13,3,3,0,8,2,2,7,7,3,6
6,59,No,Travel_Rarely,Research & Development,3,3,Medical,3,81,4,1,Laboratory Technician,1,Married,4,Yes,20,4,1,3,12,3,2,1,0,0,0
7,30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,67,3,1,Laboratory Technician,3,Divorced,1,No,22,4,2,1,1,2,3,1,0,0,0
8,38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,44,2,3,Manufacturing Director,3,Single,0,No,21,4,2,0,10,2,3,9,7,1,8
9,36,No,Travel_Rarely,Research & Development,27,3,Medical,3,94,3,2,Healthcare Representative,3,Married,6,No,13,3,2,2,17,3,2,7,7,7,7
10,35,No,Travel_Rarely,Research & Development,16,3,Medical,1,84,4,1,Laboratory Technician,2,Married,0,No,13,3,3,1,6,5,3,5,4,0,3
11,29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,49,2,2,Laboratory Technician,3,Single,0,Yes,12,3,4,0,10,3,3,9,5,0,8
12,31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,31,3,1,Research Scientist,3,Divorced,1,No,17,3,4,1,5,1,2,5,2,4,3
13,34,No,Travel_Rarely,Research & Development,19,2,Medical,2,93,3,1,Laboratory Technician,4,Divorced,0,No,11,3,3,1,3,2,3,2,2,1,2
14,28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,50,2,1,Laboratory Technician,3,Single,5,Yes,14,3,2,0,6,4,3,4,2,0,3
15,29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,51,4,3,Manufacturing Director,1,Divorced,1,No,11,3,3,1,10,1,3,10,9,8,8
16,32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,80,4,1,Research Scientist,2,Divorced,0,Yes,12,3,4,2,7,5,2,6,2,0,5
17,22,No,Non-Travel,Research & Development,16,2,Medical,4,96,4,1,Laboratory Technician,4,Divorced,1,Yes,13,3,2,2,1,2,2,1,0,0,0
18,53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,78,2,4,Manager,4,Married,2,No,16,3,3,0,31,3,3,25,8,3,7
19,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,45,3,1,Research Scientist,4,Single,5,Yes,11,3,3,0,6,3,3,3,2,1,2
20,24,No,Non-Travel,Research & Development,11,2,Other,1,96,4,2,Manufacturing Director,3,Divorced,0,No,18,3,4,1,5,5,2,4,2,1,3
21,36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,82,2,1,Sales Representative,1,Single,7,No,23,4,2,0,10,4,3,5,3,0,3
22,34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,53,3,3,Research Director,2,Single,0,No,11,3,3,0,13,4,3,12,6,2,11
23,21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,96,3,1,Research Scientist,4,Single,1,No,14,3,4,0,0,6,3,0,0,0,0
24,34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,83,3,1,Research Scientist,1,Single,2,No,11,3,3,0,8,2,3,4,2,1,3
25,53,No,Travel_Rarely,Research & Development,5,3,Other,3,58,3,5,Manager,3,Divorced,4,No,11,3,4,1,26,3,2,14,13,4,8
26,32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,72,1,1,Research Scientist,1,Single,1,Yes,22,4,2,0,10,5,3,10,2,6,7
27,42,No,Travel_Rarely,Sales,8,4,Marketing,3,48,3,2,Sales Executive,2,Married,0,No,11,3,4,1,10,2,3,9,7,4,2
28,44,No,Travel_Rarely,Research & Development,7,4,Medical,1,42,2,3,Healthcare Representative,4,Married,3,No,14,3,4,1,24,4,3,22,6,5,17
29,46,No,Travel_Rarely,Sales,2,4,Marketing,2,83,3,5,Manager,1,Single,3,No,12,3,4,0,22,2,2,2,2,2,1
30,33,No,Travel_Rarely,Research & Development,2,3,Medical,3,78,3,1,Laboratory Technician,4,Single,4,No,11,3,4,0,7,3,3,1,1,0,0
31,44,No,Travel_Rarely,Research & Development,10,4,Other,4,41,3,2,Healthcare Representative,4,Married,2,Yes,13,3,4,0,9,5,4,4,2,1,3
32,30,No,Travel_Rarely,Research & Development,9,2,Medical,4,83,2,1,Laboratory Technician,3,Single,1,No,13,3,1,0,10,5,3,10,0,1,8
33,39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,56,3,2,Sales Representative,4,Married,3,No,14,3,3,1,19,6,4,1,0,0,0
